year,month,day,order_seq,country,session,category,model,color,location,photography,price,price_ind,page,event_time,so_key
2008,4,1,1,29,1,1,A13,1,5,1,28,2,1,1207008000000,1-1
2008,4,1,2,29,1,1,A16,1,6,1,33,2,1,1207008001000,1-2
2008,4,1,3,29,1,2,B4,10,2,1,52,1,1,1207008002000,1-3
2008,4,1,4,29,1,2,B17,6,6,2,38,2,1,1207008003000,1-4
2008,4,1,5,29,1,2,B8,4,3,2,52,1,1,1207008004000,1-5
2008,4,1,6,29,1,3,C56,6,1,2,57,1,4,1207008005000,1-6
2008,4,1,7,29,1,3,C57,5,1,2,33,2,4,1207008006000,1-7
2008,4,1,8,29,1,4,P67,9,5,1,38,1,4,1207008007000,1-8
2008,4,1,9,29,1,4,P82,6,4,2,48,1,5,1207008008000,1-9
2008,4,1,1,29,2,2,B31,9,5,1,57,1,2,1207008009000,2-1
2008,4,1,2,29,2,2,B21,12,1,1,67,1,2,1207008010000,2-2
2008,4,1,3,29,2,2,B24,11,2,1,57,1,2,1207008011000,2-3
2008,4,1,4,29,2,2,B27,2,3,1,57,1,2,1207008012000,2-4
2008,4,1,5,29,2,1,A10,3,4,1,38,2,1,1207008013000,2-5
2008,4,1,6,29,2,1,A10,3,4,1,38,2,1,1207008014000,2-6
2008,4,1,7,29,2,2,B27,2,3,1,57,1,2,1207008015000,2-7
2008,4,1,8,29,2,4,P1,3,1,1,38,1,1,1207008016000,2-8
2008,4,1,9,29,2,4,P34,9,6,2,48,1,2,1207008017000,2-9
2008,4,1,10,29,2,4,P33,9,5,1,43,1,2,1207008018000,2-10
2008,4,1,1,21,3,2,B17,6,6,2,38,2,1,1207008019000,3-1
2008,4,1,2,21,3,3,C4,4,2,1,48,1,1,1207008020000,3-2
2008,4,1,3,21,3,3,C7,13,3,1,48,1,1,1207008021000,3-3
2008,4,1,4,21,3,3,C10,9,4,2,28,2,1,1207008022000,3-4
2008,4,1,5,21,3,3,C17,14,6,1,48,1,1,1207008023000,3-5
2008,4,1,6,21,3,4,P77,7,2,1,43,1,5,1207008024000,3-6
2008,4,1,1,21,4,1,A34,2,6,1,38,2,2,1207008025000,4-1
2008,4,1,2,21,4,1,A37,2,1,1,62,1,3,1207008026000,4-2
2008,4,1,3,21,4,3,C4,4,2,1,48,1,1,1207008027000,4-3
2008,4,1,4,21,4,3,C25,2,3,1,33,2,2,1207008028000,4-4
2008,4,1,1,9,5,3,C21,14,1,1,57,1,2,1207008029000,5-1
2008,4,1,1,9,6,3,C7,13,3,1,48,1,1,1207008030000,6-1
2008,4,1,2,9,6,3,C15,6,5,1,33,2,1,1207008031000,6-2
2008,4,1,3,9,6,3,C53,14,6,1,38,2,3,1207008032000,6-3
2008,4,1,4,9,6,2,B17,6,6,2,38,2,1,1207008033000,6-4
2008,4,1,5,9,6,2,B26,13,3,1,57,1,2,1207008034000,6-5
2008,4,1,1,29,7,1,A11,3,4,1,62,1,1,1207008035000,7-1
2008,4,1,2,29,7,3,C5,11,2,1,48,1,1,1207008036000,7-2
2008,4,1,3,29,7,4,P60,14,2,1,28,2,4,1207008037000,7-3
2008,4,1,4,29,7,4,P56,2,1,1,33,2,4,1207008038000,7-4
2008,4,1,5,29,7,4,P55,14,1,2,33,2,4,1207008039000,7-5
2008,4,1,6,29,7,4,P48,9,4,2,33,2,3,1207008040000,7-6
2008,4,1,7,29,7,4,P50,6,5,2,33,2,3,1207008041000,7-7
2008,4,1,8,29,7,4,P42,6,2,2,28,2,3,1207008042000,7-8
2008,4,1,9,29,7,4,P23,6,2,2,28,2,2,1207008043000,7-9
2008,4,1,10,29,7,4,P1,3,1,1,38,1,1,1207008044000,7-10
2008,4,1,11,29,7,2,B4,10,2,1,52,1,1,1207008045000,7-11
2008,4,1,1,9,8,3,C49,4,5,2,26,2,3,1207008046000,8-1
2008,4,1,2,9,8,2,B23,7,2,1,38,2,2,1207008047000,8-2
2008,4,1,3,9,8,3,C5,11,2,1,48,1,1,1207008048000,8-3
2008,4,1,4,9,8,3,C19,12,1,1,48,1,2,1207008049000,8-4
2008,4,1,5,9,8,3,C34,7,6,1,48,1,2,1207008050000,8-5
2008,4,1,6,9,8,3,C40,14,2,2,28,2,3,1207008051000,8-6
2008,4,1,7,9,8,3,C50,9,5,2,20,2,3,1207008052000,8-7
2008,4,1,8,9,8,3,C42,7,2,1,28,2,3,1207008053000,8-8
2008,4,1,9,9,8,2,B24,11,2,1,57,1,2,1207008054000,8-9
2008,4,1,1,29,9,1,A18,4,6,1,38,2,1,1207008055000,9-1
2008,4,1,2,29,9,1,A1,8,1,1,28,2,1,1207008056000,9-2
2008,4,1,3,29,9,2,B26,13,3,1,57,1,2,1207008057000,9-3
2008,4,1,1,16,10,1,A1,8,1,1,28,2,1,1207008058000,10-1
2008,4,1,2,16,10,2,B1,4,1,1,57,1,1,1207008059000,10-2
2008,4,1,3,16,10,2,B4,10,2,1,52,1,1,1207008060000,10-3
2008,4,1,4,16,10,2,B16,12,6,1,52,1,1,1207008061000,10-4
2008,4,1,5,16,10,2,B17,6,6,2,38,2,1,1207008062000,10-5
2008,4,1,1,9,11,1,A3,3,1,1,72,1,1,1207008063000,11-1
2008,4,1,1,29,12,2,B4,10,2,1,52,1,1,1207008064000,12-1
2008,4,1,2,29,12,2,B3,12,1,1,52,1,1,1207008065000,12-2
2008,4,1,3,29,12,2,B3,12,1,1,52,1,1,1207008066000,12-3
2008,4,1,4,29,12,2,B30,9,4,1,57,1,2,1207008067000,12-4
2008,4,1,5,29,12,2,B27,2,3,1,57,1,2,1207008068000,12-5
2008,4,1,6,29,12,3,C17,14,6,1,48,1,1,1207008069000,12-6
2008,4,1,7,29,12,4,P16,7,6,1,33,2,1,1207008070000,12-7
2008,4,1,1,38,13,1,A1,8,1,1,28,2,1,1207008071000,13-1
2008,4,1,2,38,13,1,A2,3,1,1,43,2,1,1207008072000,13-2
2008,4,1,3,38,13,1,A5,3,2,1,43,2,1,1207008073000,13-3
2008,4,1,1,9,14,1,A41,4,2,1,43,2,3,1207008074000,14-1
2008,4,1,1,21,15,1,A1,8,1,1,28,2,1,1207008075000,15-1
2008,4,1,2,21,15,1,A2,3,1,1,43,2,1,1207008076000,15-2
2008,4,1,3,21,15,1,A5,3,2,1,43,2,1,1207008077000,15-3
2008,4,1,4,21,15,2,B1,4,1,1,57,1,1,1207008078000,15-4
2008,4,1,5,21,15,2,B2,3,1,2,57,1,1,1207008079000,15-5
2008,4,1,6,21,15,2,B3,12,1,1,52,1,1,1207008080000,15-6
2008,4,1,7,21,15,2,B13,12,5,2,62,1,1,1207008081000,15-7
2008,4,1,8,21,15,2,B15,9,5,1,38,2,1,1207008082000,15-8
2008,4,1,9,21,15,2,B16,12,6,1,52,1,1,1207008083000,15-9
2008,4,1,10,21,15,2,B17,6,6,2,38,2,1,1207008084000,15-10
2008,4,1,11,21,15,2,B9,1,3,1,48,2,1,1207008085000,15-11
2008,4,1,12,21,15,2,B20,8,1,1,43,2,2,1207008086000,15-12
2008,4,1,13,21,15,2,B21,12,1,1,67,1,2,1207008087000,15-13
2008,4,1,14,21,15,2,B23,7,2,1,38,2,2,1207008088000,15-14
2008,4,1,15,21,15,2,B25,6,3,1,38,2,2,1207008089000,15-15
2008,4,1,16,21,15,2,B26,13,3,1,57,1,2,1207008090000,15-16
2008,4,1,17,21,15,2,B33,6,5,2,33,2,2,1207008091000,15-17
2008,4,1,18,21,15,2,B34,2,6,1,48,2,2,1207008092000,15-18
2008,4,1,19,21,15,3,C2,12,1,1,43,1,1,1207008093000,15-19
2008,4,1,20,21,15,3,C5,11,2,1,48,1,1,1207008094000,15-20
2008,4,1,21,21,15,3,C33,14,5,1,48,1,2,1207008095000,15-21
2008,4,1,22,21,15,3,C35,9,6,1,50,1,2,1207008096000,15-22
2008,4,1,23,21,15,3,C55,13,1,1,48,1,4,1207008097000,15-23
2008,4,1,24,21,15,3,C56,6,1,2,57,1,4,1207008098000,15-24
2008,4,1,25,21,15,3,C59,5,2,2,52,1,4,1207008099000,15-25
2008,4,1,1,29,16,4,P61,1,3,2,28,2,4,1207008100000,16-1
2008,4,1,2,29,16,4,P62,12,3,2,33,2,4,1207008101000,16-2
2008,4,1,1,9,17,3,C7,13,3,1,48,1,1,1207008102000,17-1
2008,4,1,2,9,17,3,C57,5,1,2,33,2,4,1207008103000,17-2
2008,4,1,3,9,17,1,A6,3,2,1,43,2,1,1207008104000,17-3
2008,4,1,4,9,17,3,C47,13,4,2,18,2,3,1207008105000,17-4
2008,4,1,5,9,17,2,B26,13,3,1,57,1,2,1207008106000,17-5
2008,4,1,6,9,17,2,B33,6,5,2,33,2,2,1207008107000,17-6
2008,4,1,7,9,17,2,B32,6,5,1,38,2,2,1207008108000,17-7
2008,4,1,1,9,18,1,A17,2,6,1,62,1,1,1207008109000,18-1
2008,4,1,2,9,18,1,A17,2,6,1,62,1,1,1207008110000,18-2
2008,4,1,3,9,18,1,A2,3,1,1,43,2,1,1207008111000,18-3
2008,4,1,4,9,18,1,A1,8,1,1,28,2,1,1207008112000,18-4
2008,4,1,5,9,18,1,A7,3,3,1,43,2,1,1207008113000,18-5
2008,4,1,6,9,18,1,A8,3,3,1,62,1,1,1207008114000,18-6
2008,4,1,7,9,18,1,A9,3,3,1,82,1,1,1207008115000,18-7
2008,4,1,8,9,18,1,A20,2,1,2,38,2,2,1207008116000,18-8
2008,4,1,9,9,18,1,A34,2,6,1,38,2,2,1207008117000,18-9
2008,4,1,10,9,18,1,A32,2,5,1,38,2,2,1207008118000,18-10
2008,4,1,11,9,18,3,C7,13,3,1,48,1,1,1207008119000,18-11
2008,4,1,1,29,19,1,A10,3,4,1,38,2,1,1207008120000,19-1
2008,4,1,2,29,19,3,C11,7,4,1,33,2,1,1207008121000,19-2
2008,4,1,3,29,19,3,C5,11,2,1,48,1,1,1207008122000,19-3
2008,4,1,4,29,19,3,C22,11,2,2,43,1,2,1207008123000,19-4
2008,4,1,5,29,19,4,P12,4,4,1,33,2,1,1207008124000,19-5
2008,4,1,1,29,20,1,A4,3,2,2,38,2,1,1207008125000,20-1
2008,4,1,2,29,20,1,A23,6,2,2,33,2,2,1207008126000,20-2
